"agency_cd","site_no","dateTime","X_00045_00006","X_00045_00006_cd","X_00060_00003","X_00060_00003_cd","X_00065_00003","X_00065_00003_cd","tz_cd"
"USGS","03456500",1954-09-28,NA,NA,14,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-29,NA,NA,14,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-30,NA,NA,14,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-01,NA,NA,18,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-02,NA,NA,20,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-03,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-04,NA,NA,14,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-05,NA,NA,15,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-06,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-07,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-08,NA,NA,15,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-09,NA,NA,15,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-10,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-11,NA,NA,15,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-12,NA,NA,14,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-13,NA,NA,14,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-14,NA,NA,14,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-15,NA,NA,48,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-16,NA,NA,22,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-17,NA,NA,17,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-18,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-19,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-20,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-21,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-22,NA,NA,15,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-23,NA,NA,15,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-24,NA,NA,15,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-25,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-26,NA,NA,15,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-27,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-28,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-29,NA,NA,18,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-30,NA,NA,18,"A",NA,NA,"UTC"
"USGS","03456500",1954-10-31,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-01,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-02,NA,NA,19,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-03,NA,NA,18,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-04,NA,NA,18,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-05,NA,NA,28,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-06,NA,NA,22,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-07,NA,NA,18,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-08,NA,NA,18,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-09,NA,NA,18,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-10,NA,NA,17,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-11,NA,NA,17,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-12,NA,NA,17,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-13,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-14,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-15,NA,NA,17,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-16,NA,NA,50,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-17,NA,NA,47,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-18,NA,NA,28,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-19,NA,NA,36,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-20,NA,NA,48,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-21,NA,NA,28,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-22,NA,NA,23,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-23,NA,NA,24,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-24,NA,NA,24,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-25,NA,NA,22,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-26,NA,NA,20,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-27,NA,NA,22,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-28,NA,NA,36,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-29,NA,NA,115,"A",NA,NA,"UTC"
"USGS","03456500",1954-11-30,NA,NA,39,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-01,NA,NA,31,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-02,NA,NA,28,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-03,NA,NA,26,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-04,NA,NA,24,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-05,NA,NA,37,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-06,NA,NA,68,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-07,NA,NA,36,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-08,NA,NA,34,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-09,NA,NA,56,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-10,NA,NA,52,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-11,NA,NA,41,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-12,NA,NA,38,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-13,NA,NA,56,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-14,NA,NA,58,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-15,NA,NA,46,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-16,NA,NA,39,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-17,NA,NA,39,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-18,NA,NA,65,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-19,NA,NA,51,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-20,NA,NA,43,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-21,NA,NA,42,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-22,NA,NA,40,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-23,NA,NA,38,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-24,NA,NA,36,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-25,NA,NA,33,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-26,NA,NA,33,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-27,NA,NA,35,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-28,NA,NA,65,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-29,NA,NA,729,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-30,NA,NA,482,"A",NA,NA,"UTC"
"USGS","03456500",1954-12-31,NA,NA,218,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-01,NA,NA,163,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-02,NA,NA,133,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-03,NA,NA,113,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-04,NA,NA,103,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-05,NA,NA,94,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-06,NA,NA,87,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-07,NA,NA,78,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-08,NA,NA,73,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-09,NA,NA,70,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-10,NA,NA,72,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-11,NA,NA,80,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-12,NA,NA,67,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-13,NA,NA,62,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-14,NA,NA,58,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-15,NA,NA,61,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-16,NA,NA,58,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-17,NA,NA,54,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-18,NA,NA,54,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-19,NA,NA,58,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-20,NA,NA,54,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-21,NA,NA,57,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-22,NA,NA,64,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-23,NA,NA,54,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-24,NA,NA,49,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-25,NA,NA,48,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-26,NA,NA,47,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-27,NA,NA,50,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-28,NA,NA,45,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-29,NA,NA,41,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-30,NA,NA,40,"A",NA,NA,"UTC"
"USGS","03456500",1955-01-31,NA,NA,35,"A",NA,NA,"UTC"
"USGS","03456500",1955-02-01,NA,NA,50,"A",NA,NA,"UTC"
"USGS","03456500",1955-02-02,NA,NA,80,"A",NA,NA,"UTC"
"USGS","03456500",1955-02-03,NA,NA,73,"A",NA,NA,"UTC"
"USGS","03456500",1955-02-04,NA,NA,58,"A",NA,NA,"UTC"
"USGS","03456500",1955-02-05,NA,NA,58,"A",NA,NA,"UTC"
"USGS","03456500",1955-02-06,NA,NA,873,"A",NA,NA,"UTC"
"USGS","03456500",1955-02-07,NA,NA,550,"A",NA,NA,"UTC"
"USGS","03456500",1955-02-08,NA,NA,307,"A",NA,NA,"UTC"
"USGS","03456500",1955-02-09,NA,NA,226,"A",NA,NA,"UTC"
"USGS","03456500",1955-02-10,NA,NA,188,"A",NA,NA,"UTC"
"USGS","03456500",1955-02-11,NA,NA,209,"A",NA,NA,"UTC"
"USGS","03456500",1955-02-12,NA,NA,150,"A",NA,NA,"UTC"
"USGS","03456500",1955-02-13,NA,NA,135,"A",NA,NA,"UTC"
